transaction_amount_inr,hour_of_day,merchant_category,card_type,card_present,distance_from_home_km,transactions_last_24h,avg_transaction_amount_inr,num_declined_last_30d,is_fraud
1738.38,15,Travel,Amex,0,42.33,1,2648.87,1,0
1450.18,14,Retail,Visa,1,3.09,3,1754.85,0,0
923.78,20,Grocery,RuPay,1,4.88,5,4115.96,35,0
885.04,12,Utilities,Mastercard,1,6.35,6,665.16,1,0
6914.66,13,Online,Visa,1,56.09,2,12672.62,0,0
336.05,17,Grocery,RuPay,1,3.64,3,2122.74,0,0
640.61,8,Utilities,Visa,1,3.96,2,1502.96,1,0
8150.05,7,Online,Visa,0,59.6,12,8360.08,2,1
671.11,14,Grocery,Visa,1,16.02,3,3935.98,0,0
1750.01,12,Restaurant,RuPay,1,40.34,2,2393.5,1,0
1880.62,13,Retail,Visa,1,13.83,4,696.49,0,0
3800.77,23,Online,RuPay,1,14.66,3,3945.33,1,0
2393.25,18,Entertainment,Amex,1,0.9,3,1198.73,0,0
1412.35,18,Electronics,RuPay,1,0.1,2,3162.34,0,0
1071.16,8,Restaurant,Mastercard,1,31.77,1,2505.17,0,0
10507.32,19,Travel,Mastercard,1,24.94,7,2656.64,0,0
3754.24,14,Grocery,,1,17.24,3,703.08,0,0
1020.93,8,Travel,Mastercard,1,0.29,6,4442.76,1,0
3176.57,14,Restaurant,Mastercard,1,9.47,55,2902.83,2,0
1808.58,16,Grocery,Mastercard,1,41.87,2,903.38,1,0
1162.07,6,Restaurant,Amex,1,10.16,2,1037.79,1,0
6697.26,14,Grocery,RuPay,1,0.74,2,1380.14,1,0
8086.45,0,Grocery,RuPay,1,10.07,1,1414.65,0,0
1394.86,11,Grocery,Visa,0,17.55,1,1898.72,0,0
3974.32,6,Restaurant,Amex,1,40.34,5,2279.4,,0
1267.36,8,Entertainment,Visa,1,3.01,5,1328.54,0,0
1751.68,8,Electronics,RuPay,1,2.44,4,533.67,0,0
662.63,10,Travel,Visa,1,10.12,3,500,0,0
470.03,7,Travel,RuPay,1,16.63,6,818.66,0,0
1567.13,6,Grocery,RuPay,0,5.25,3,1559.85,0,0
4379.42,12,Online,Amex,0,,4,821.9,0,0
4738.79,11,Travel,Mastercard,1,1.57,3,10121.74,2,0
753.92,11,Entertainment,Mastercard,1,23.8,5,1234.45,0,0
5470.66,20,Entertainment,Mastercard,1,0.07,0,807.7,0,0
5820.52,10,Gas,Mastercard,1,0.84,4,1542.5,0,0
1174.81,19,Gas,Mastercard,1,20.71,2,1647.83,0,0
12505.2,17,Entertainment,Visa,0,160.66,8,3949.76,1,1
2923.42,15,Online,Visa,1,0.15,1,1411.97,0,0
5843.25,22,Grocery,Visa,0,2.14,4,2517.39,2,1
1525.4,8,Gas,Visa,1,11.41,6,887.48,0,0
10416.25,16,Retail,Amex,0,5.16,5,1023.87,0,0
1178.36,11,Healthcare,Visa,0,19.98,2,3845.31,0,0
1730.31,4,,Visa,1,24.92,3,1471.16,0,0
1894.2,8,Online,Visa,1,48.39,5,1245.01,0,0
3052.75,8,Grocery,Mastercard,1,19.74,5,1828.58,1,0
1020.7,7,Restaurant,Visa,1,6.43,1,4119.24,0,0
2650.06,14,Gas,Mastercard,0,3.64,6,908.57,0,0
901152.9,14,Retail,Amex,1,0.18,3,3210.1,1,0
316.13,10,Online,Visa,1,45.12,2,875.08,1,0
10313.29,9,Travel,RuPay,1,34.65,5,3751.42,1,0
7081.06,13,Restaurant,RuPay,0,6.15,5,886.84,0,0
1351.55,13,Restaurant,Mastercard,1,5.15,3,909.81,0,0
1562.49,9,Gas,Amex,1,69.48,2,500,2,0
663.73,3,Gas,Mastercard,1,4.39,4,6044.23,0,0
8170.44,6,Online,Mastercard,1,11.97,4,2463.09,0,0
5000,12,Electronics,Amex,0,93.08,7,5902.29,2,1
995.52,13,Entertainment,Visa,1,0.29,3,4641.12,0,0
13013.2,5,Retail,RuPay,1,124.91,10,762.89,4,1
3488.71,7,Travel,Mastercard,1,3.11,2,2037.98,0,0
3139.31,11,Entertainment,Visa,1,22.97,3,1623.16,1,0
1504.13,15,Gas,Mastercard,1,20.05,4,2378.49,0,0
941548.04,11,Healthcare,Amex,1,11.8,2,2102.11,1,0
6999.59,19,Grocery,Visa,1,7.85,1,1316.4,0,0
6293.72,17,,RuPay,1,7.55,6,686.25,0,0
1387.65,10,Restaurant,Amex,1,1.6,5,4156.24,1,0
3415.74,7,Electronics,Amex,1,8.51,5,1905.36,0,0
1125.89,14,Travel,Mastercard,1,16.32,2,1987.72,0,0
1007.95,7,Gas,RuPay,1,0.8,0,681.88,0,0
2128.14,6,Entertainment,Visa,0,15.69,3,3166.42,0,0
12333.11,12,Travel,RuPay,0,96.27,9,1354.65,2,1
5409.56,9,Gas,Visa,1,26.25,5,2773.02,1,0
2654.61,14,Online,RuPay,1,103.11,0,2050.95,0,0
10874.51,15,Travel,Amex,1,77.36,14,982.64,2,1
2060.6,10,Gas,RuPay,1,13.48,2,1364.88,0,0
